iter	Passed	Remaining
0	180	3974
1	265	2785
2	311	2076
3	346	1643
4	378	1363
5	414	1175
6	452	1033
7	489	918
8	525	818
9	567	737
10	606	661
11	647	593
12	690	530
13	731	470
14	774	413
15	820	358
16	868	306
17	912	253
18	954	201
19	1003	150
20	1049	99
21	1096	49
22	1144	0
